File,Variable,Description
ACQ_C.htm,SEQN,SEQN - Respondent sequence number
ACQ_C.htm,ACQ005,ACQ005 - CHECK ITEM
ACQ_C.htm,ACD010A,ACD010A - English usually spoken at home
ACQ_C.htm,ACD010B,ACD010B - Spanish usually spoken at home
ACQ_C.htm,ACD010C,ACD010C - Other language(s) usually spoken at home
ACQ_C.htm,ACQ015,ACQ015 - CHECK ITEM
ACQ_C.htm,ACQ020,ACQ020 - Language(s) read and spoken
ACQ_C.htm,ACQ030,ACQ030 - Language(s) used as child
ACQ_C.htm,ACD040,ACD040 - Language(s) usually spoken at home
ACQ_C.htm,ACQ050,ACQ050 - Language(s) usually used to think
ACQ_C.htm,ACQ060,ACQ060 - Language(s) usually used with friends
ACQ_C.htm,ACD070,ACD070 - Father's country of birth
ACQ_C.htm,ACD080,ACD080 - Mother's country of birth
BIX_C.htm,SEQN,SEQN - Respondent sequence number
BIX_C.htm,BIAEXSTS,BIAEXSTS - BIA Status
BIX_C.htm,BIDFIT,BIDFIT - Quality of fit to Cole model
BIX_C.htm,BIDRECF,BIDRECF - Resistance (ohms) of extracellular fluid
BIX_C.htm,BIDRICF,BIDRICF - Resistance (ohms) of intracellular fluid
BIX_C.htm,BIDCM,BIDCM - Cell membrane capacitance (nF)
BIX_C.htm,BIDTD,BIDTD - Time delay (ns)
BIX_C.htm,BIDALPHA,BIDALPHA - Exponent alpha
BIX_C.htm,BIDFC,BIDFC - Characteristic frequency (KHz)
BIX_C.htm,BIDECF,BIDECF - Estimated extracellular fluid volume (L)
BIX_C.htm,BIDTBW,BIDTBW - Estimated total water body volume (L)
BIX_C.htm,BIDICF,BIDICF - Estimated intracellular fluid volume (L)
BIX_C.htm,BIDFFM,BIDFFM - Estimated fat-free mass (kg)
BIX_C.htm,BIDFAT,BIDFAT - Estimated fat mass (kg)
BIX_C.htm,BIDPFAT,BIDPFAT - Estimated percent body fat
BIX_C.htm,BIXS005K,BIXS005K - Resistance (Ohms) @ 5 KHz
BIX_C.htm,BIXS006K,BIXS006K - Resistance (Ohms) @ 6 KHz
BIX_C.htm,BIXS007K,BIXS007K - Resistance (Ohms) @ 7 KHz
BIX_C.htm,BIXS008K,BIXS008K - Resistance (Ohms) @ 8 KHz
BIX_C.htm,BIXS009K,BIXS009K - Resistance (Ohms) @ 9 KHz
BIX_C.htm,BIXS010K,BIXS010K - Resistance (Ohms) @ 10 KHz
BIX_C.htm,BIXS011K,BIXS011K - Resistance (Ohms) @ 11 KHz
BIX_C.htm,BIXS012K,BIXS012K - Resistance (Ohms) @ 12 KHz
BIX_C.htm,BIXS013K,BIXS013K - Resistance (Ohms) @ 13 KHz
BIX_C.htm,BIXS014K,BIXS014K - Resistance (Ohms) @ 14 KHz
BIX_C.htm,BIXS015K,BIXS015K - Resistance (Ohms) @ 15 KHz
BIX_C.htm,BIXS016K,BIXS016K - Resistance (Ohms) @ 16 KHz
BIX_C.htm,BIXS018K,BIXS018K - Resistance (Ohms) @ 18 KHz
BIX_C.htm,BIXS020K,BIXS020K - Resistance (Ohms) @ 20 KHz
BIX_C.htm,BIXS023K,BIXS023K - Resistance (Ohms) @ 23 KHz
BIX_C.htm,BIXS025K,BIXS025K - Resistance (Ohms) @ 25 KHz
BIX_C.htm,BIXS028K,BIXS028K - Resistance (Ohms) @ 28 KHz
BIX_C.htm,BIXS031K,BIXS031K - Resistance (Ohms) @ 31 KHz
BIX_C.htm,BIXS035K,BIXS035K - Resistance (Ohms) @ 35 KHz
BIX_C.htm,BIXS039K,BIXS039K - Resistance (Ohms) @ 39 KHz
BIX_C.htm,BIXS043K,BIXS043K - Resistance (Ohms) @ 43 KHz
BIX_C.htm,BIXS050K,BIXS050K - Resistance (Ohms) @ 50 KHz
BIX_C.htm,BIXS054K,BIXS054K - Resistance (Ohms) @ 54 KHz
BIX_C.htm,BIXS060K,BIXS060K - Resistance (Ohms) @ 60 KHz
BIX_C.htm,BIXS067K,BIXS067K - Resistance (Ohms) @ 67 KHz
BIX_C.htm,BIXS075K,BIXS075K - Resistance (Ohms) @ 75 KHz
BIX_C.htm,BIXS083K,BIXS083K - Resistance (Ohms) @ 83 KHz
BIX_C.htm,BIXS093K,BIXS093K - Resistance (Ohms) @ 93 KHz
BIX_C.htm,BIXS100K,BIXS100K - Resistance (Ohms) @ 100 KHz
BIX_C.htm,BIXS115K,BIXS115K - Resistance (Ohms) @ 115 KHz
BIX_C.htm,BIXS128K,BIXS128K - Resistance (Ohms) @ 128 KHz
BIX_C.htm,BIXS143K,BIXS143K - Resistance (Ohms) @ 143 KHz
BIX_C.htm,BIXS159K,BIXS159K - Resistance (Ohms) @ 159 KHz
BIX_C.htm,BIXS177K,BIXS177K - Resistance (Ohms) @ 177 KHz
BIX_C.htm,BIXS200K,BIXS200K - Resistance (Ohms) @ 200 KHz
BIX_C.htm,BIXS220K,BIXS220K - Resistance (Ohms) @ 220 KHz
BIX_C.htm,BIXS245K,BIXS245K - Resistance (Ohms) @ 245 KHz
