Filename,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78,Column 79,Column 80,Column 81,Column 82,Column 83,Column 84,Column 85,Column 86,Column 87,Column 88,Column 89,Column 90,Column 91,Column 92,Column 93,Column 94,Column 95,Column 96,Column 97,Column 98,Column 99,Column 100,Column 101,Column 102,Column 103,Column 104,Column 105,Column 106,Column 107,Column 108,Column 109,Column 110,Column 111,Column 112,Column 113,Column 114,Column 115,Column 116,Column 117,Column 118,Column 119,Column 120,Column 121,Column 122,Column 123,Column 124,Column 125,Column 126,Column 127,Column 128,Column 129,Column 130,Column 131,Column 132,Column 133,Column 134,Column 135,Column 136,Column 137,Column 138,Column 139,Column 140,Column 141,Column 142,Column 143,Column 144,Column 145,Column 146,Column 147,Column 148,Column 149,Column 150,Column 151,Column 152,Column 153,Column 154,Column 155,Column 156,Column 157,Column 158,Column 159,Column 160,Column 161,Column 162,Column 163,Column 164,Column 165,Column 166,Column 167,Column 168,Column 169,Column 170,Column 171
ACQ_C.csv,SEQN,ACD010A,ACD010B,ACD010C,ACQ020,ACQ030,ACD040,ACQ050,ACQ060,ACD070,ACD080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALQ_C.csv,SEQN,ALQ101,ALQ110,ALQ120Q,ALQ120U,ALQ130,ALQ140Q,ALQ140U,ALQ150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIX_C.csv,SEQN,BIAEXSTS,BIDFIT,BIDRECF,BIDRICF,BIDCM,BIDTD,BIDALPHA,BIDFC,BIDECF,BIDTBW,BIDICF,BIDFFM,BIDFAT,BIDPFAT,BIXS005K,BIXS006K,BIXS007K,BIXS008K,BIXS009K,BIXS010K,BIXS011K,BIXS012K,BIXS013K,BIXS014K,BIXS015K,BIXS016K,BIXS018K,BIXS020K,BIXS023K,BIXS025K,BIXS028K,BIXS031K,BIXS035K,BIXS039K,BIXS043K,BIXS050K,BIXS054K,BIXS060K,BIXS067K,BIXS075K,BIXS083K,BIXS093K,BIXS100K,BIXS115K,BIXS128K,BIXS143K,BIXS159K,BIXS177K,BIXS200K,BIXS220K,BIXS245K,BIXS273K,BIXS304K,BIXS339K,BIXS378K,BIXS421K,BIXS469K,BIXS500K,BIXS582K,BIXS649K,BIXS723K,BIXS806K,BIXS898K,BIXS1M,BIXC005K,BIXC006K,BIXC007K,BIXC008K,BIXC009K,BIXC010K,BIXC011K,BIXC012K,BIXC013K,BIXC014K,BIXC015K,BIXC016K,BIXC018K,BIXC020K,BIXC023K,BIXC025K,BIXC028K,BIXC031K,BIXC035K,BIXC039K,BIXC043K,BIXC050K,BIXC054K,BIXC060K,BIXC067K,BIXC075K,BIXC083K,BIXC093K,BIXC100K,BIXC115K,BIXC128K,BIXC143K,BIXC159K,BIXC177K,BIXC200K,BIXC220K,BIXC245K,BIXC273K,BIXC304K,BIXC339K,BIXC378K,BIXC421K,BIXC469K,BIXC500K,BIXC582K,BIXC649K,BIXC723K,BIXC806K,BIXC898K,BIXC1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMX_C.csv,SEQN,BMDSTATS,BMDRECUF,BMDSUBF,BMDTHICF,BMDLEGF,BMDARMLF,BMDCALFF,BMXWT,BMIWT,BMXRECUM,BMIRECUM,BMXHEAD,BMIHEAD,BMXHT,BMIHT,BMXBMI,BMXLEG,BMILEG,BMXCALF,BMICALF,BMXARML,BMIARML,BMXARMC,BMIARMC,BMXWAIST,BMIWAIST,BMXTHICR,BMITHICR,BMXTRI,BMITRI,BMXSUB,BMISUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPQ_C.csv,SEQN,BPQ010,BPQ020,BPQ030,BPQ040A,BPQ040B,BPQ040C,BPQ040D,BPQ040E,BPQ040F,BPQ043A,BPQ043B,BPQ043C,BPQ043D,BPQ050A,BPQ050B,BPQ050C,BPQ050D,BPQ050E,BPQ060,BPQ070,BPQ080,BPQ090A,BPQ090B,BPQ090C,BPQ090D,BPQ100A,BPQ100B,BPQ100C,BPQ100D,BPD110A,BPD110B,BPD110C,BPD120,BPD130,BPD140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPX_C.csv,SEQN,PEASCST1,PEASCTM1,PEASCCT1,BPXCHR,BPQ150A,BPQ150B,BPQ150C,BPQ150D,BPAARM,BPACSZ,BPXPLS,BPXDB,BPXPULS,BPXPTY,BPXML1,BPXSY1,BPXDI1,BPAEN1,BPXSY2,BPXDI2,BPAEN2,BPXSY3,BPXDI3,BPAEN3,BPXSY4,BPXDI4,BPAEN4,BPXSAR,BPXDAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDQ_C.csv,SEQN,CDQ001,CDQ002,CDQ003,CDQ004,CDQ005,CDQ006,CDQ009A,CDQ009B,CDQ009C,CDQ009D,CDQ009E,CDQ009F,CDQ009G,CDQ009H,CDQ008,CDQ010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIQDEP_C.csv,SEQN,WTSCI2YR,CIAORDER,CIQD001,CIQD002,CIQD003,CIQD004,CIQD005,CIQD006,CIQD007,CIQD008,CIQD009,CIQD010,CIQD011,CIQD012,CIQD013,CIQD014,CIQD015,CIQD016,CIQD017,CIQD018,CIQD019,CIQD020,CIQD021,CIQD022,CIQD023,CIQD024,CIQD025,CIQD026,CIQD027,CIQD028,CIQD029,CIQD030,CIQD031,CIQD032,CIQD033,CIQD034,CIQD035,CIQD036,CIQD037,CIQD038,CIQD040,CIQD041,CIQD042,CIQD043,CIQD044,CIQD045,CIQD046,CIQD047,CIQD048,CIQD049,CIQD050,CIQD051,CIQD052,CIQD053,CIQD054,CIQD055,CIQD056,CIQD057,CIQD058,CIQD059,CIQD060,CIQD061,CIQD062,CIQD064,CIQD065,CIQD066,CIQD067,CIQD068,CIQD069,CIQD071,CIQD072,CIQD073,CIQD074,CIQD075,CIQD076,CIQD077,CIQD078,CIQD079,CIQD080,CIQD081,CIQD083,CIQD084,CIQD085,CIQD086,CIQD087,CIQD088,CIQD089,CIQD090,CIQD091,CIQD092,CIQD093,CIQD095,CIQD096,CIQD097,CIQD098,CIQD099,CIQD100,CIQD101,CIQD102,CIQD103,CIQD104,CIQD105,CIQD106,CIQD107,CIQD108,CIQD109,CIQDPA,CIQDPB,CIQDPC,CIQDPD,CIQDPE,CIQDPF,CIQDPHA,CIQDPHB,CIQDPHC,CIQDPHD,CIQDPHE,CIQDPHF,CIQDPHG,CIQDPHH,CIQDPHI,CIQDPHJ,CIQDPHK,CIQDPJ,CIQDPK,CIQDPQ,CIQDPN,CIQDPO,CIDDPRB,CIQD110,CIQD111,CIQD112,CIQD113,CIDDSCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIQGAD_C.csv,SEQN,WTSCI2YR,CIAORDER,CIQG01,CIQG02,CIQG03,CIQG04,CIQG05,CIQG06,CIQG07,CIQG08,CIQG09,CIQG10,CIQG12,CIQG13,CIQG14,CIQG15,CIQG16,CIQG17A,CIQG17B,CIQG17C,CIQG17D,CIQG17E,CIQG17F,CIQG17G,CIQG18,CIQGPA,CIQGPB,CIQGPC,CIQGPD,CIQGPE,CIQGPF,CIQGPHA,CIQGPHB,CIQGPHC,CIQGPHD,CIQGPHE,CIQGPHF,CIQGPHG,CIQGPHH,CIQGPHI,CIQGPHJ,CIQGPHK,CIQGPJ,CIQGPK,CIQGPQ,CIQGPN,CIQGPO,CIDGPRB,CIQG19,CIQG20,CIQG21,CIQG22,CIQG23,CIQG24,CIQG25,CIQG26,CIQG27,CIQG28,CIQG29,CIQG30,CIQG31,CIQG32,CIQG33,CIQG34,CIQG35,CIQG36,CIQG37,CIQG38,CIDGSCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIQPAN_C.csv,SEQN,WTSCI2YR,CIAORDER,CIQP01,CIQP02,CIQP03,CIQP04,CIQP05,CIQP06,CIQP07,CIQP08,CIQP09,CIQP11,CIQP12,CIQP13A,CIQP13B,CIQP13C,CIQP13D,CIQP13E,CIQP13F,CIQP13G,CIQP13H,CIQP13I,CIQP13J,CIQP13K,CIQP13L,CIQP13M,CIQP13N,CIQP13O,CIQP13P,CIQP14,CIQP15,CIQP16,CIQP17,CIQP18,CIQP19,CIQP20,CIQP21A,CIQP21B,CIQP21C,CIQP21D,CIQP21E,CIQP21F,CIQP21G,CIQP21H,CIQP21I,CIQP21J,CIQP21K,CIQP21L,CIQP21M,CIQP21N,CIQP21O,CIQP21P,CIQP21Q,CIQP21R,CIQP21S,CIQP21T,CIQP23,CIQP24,CIQP25,CIQP26,CIQP27,CIQP28,CIQP29,CIQP31,CIQP32,CIQP33,CIQP34,CIQP36,CIQP37,CIQP38,CIQP40,CIQP41,CIQP42,CIQP44A,CIQP44B,CIQP44C,CIQP44D,CIQP44E,CIQP44F,CIQP44G,CIQP44H,CIQP44I,CIQP44J,CIQP44K,CIQP44L,CIQP44M,CIQP44N,CIQP44O,CIQP44P,CIQP44Q,CIQP44R,CIQP44S,CIQP44T,CIQP49,CIQP50,CIQP51,CIQP52,CIQP54,CIQP55,CIQP57,CIQP58,CIQPPA,CIQPPB,CIQPPC,CIQPPD,CIQPPE,CIQPPF,CIQPPHA,CIQPPHB,CIQPPHC,CIQPPHD,CIQPPHE,CIQPPHF,CIQPPHG,CIQPPHH,CIQPPHI,CIQPPHJ,CIQPPHK,CIQPPJ,CIQPPK,CIQPPQ,CIQPPN,CIQPPO,CIDPPRB,CIQP59,CIQP60,CIQP61,CIQP62,CIQP63,CIQP64,CIQP65,CIQP66,CIQP67,CIQP68,CIQP69,CIQP70,CIQP71,CIQP72,CIDPSCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
