Description,File,Variable,Year
# Times broken/fractured hip,OSQ_D.htm,OSQ020a,2005-2006
# Times broken/fractured spine,OSQ_D.htm,OSQ020c,2005-2006
# Times broken/fractured wrist,OSQ_D.htm,OSQ020b,2005-2006
# chewing plugs/wads/chaws per day,SMQ_C.htm,SMD233,2003-2004
# cigarettes smoked per day,SMQRTU_D.htm,SMQ720,2005-2006
# cigarettes smoked per day now,SMQ_C.htm,SMD070,2003-2004
# cigarettes smoked per day when quit,SMQ_C.htm,SMD057,2003-2004
# cigars smoked per day - last 5 days,SMQRTU_D.htm,SMQ780,2005-2006
# cigars smokes per day,SMQ_C.htm,SMQ173,2003-2004
# days smoked cigarettes last 5 days,SMQRTU_D.htm,SMQ710,2005-2006
# days smoked cigars over last 5 days,SMQRTU_D.htm,SMQ770,2005-2006
# days smoked cigs during past 30 days,SMQ_C.htm,SMD641,2003-2004
# days smoked pipe over last 5 days,SMQRTU_D.htm,SMQ740,2005-2006
# days used nicotine stop smoking aids?,SMQRTU_D.htm,SMQ830,2005-2006
# days used snuff over last 5 days,SMQRTU_D.htm,SMQ817,2005-2006
# hours watch TV or videos past 30 days,PAQ_C.htm,PAD590,2003-2004
# of dropped beats in 30 seconds,BPX_C.htm,BPXDB,2003-2004
# of hours use computer past 30 days,PAQ_C.htm,PAD600,2003-2004
# of times did activity in past 30 days,PAQIAF_C.htm,PADTIMES,2003-2004
# of times past 30 days,PAQ_C.htm,PAD120,2003-2004
# of times/week get school breakfast,DBQ_D.htm,DBD411,2005-2006
# of times/week get school lunch,DBQ_D.htm,DBD381,2005-2006
# of times/wk eat meals not from a home,DBQ_D.htm,DBD091,2005-2006
# pipefuls of tobacco smoked per day,SMQ_C.htm,SMQ143,2003-2004
# pipes smoked per day - last 5 days,SMQRTU_D.htm,SMQ750,2005-2006
# snuff pinches/dips/rubs per day,SMQ_C.htm,SMD203,2003-2004
# time/week you play or exercise hard,PAQ_C.htm,PAQ560,2003-2004
# times walked or bicycled,PAQ_C.htm,PAQ050Q,2003-2004
# wheezing/whistling attacks past year,RDQ_C.htm,RDQ080,2003-2004
# years bringing up phlegm problem,RDQ_C.htm,RDD060,2003-2004
# years had cough problem,RDQ_C.htm,RDD040,2003-2004
# years smoked this amount of cigars,SMQ_C.htm,SMQ175,2003-2004
# years smoked this amount of pipes,SMQ_C.htm,SMQ145,2003-2004
# years used this amount of snuff,SMQ_C.htm,SMQ205,2003-2004
# years used this chewing tobacco amount,SMQ_C.htm,SMD235,2003-2004
#Times overnite hospital patient/last yr,HUQ_C.htm,HUD080,2003-2004
#Times receive healthcare over past year,HUQ_C.htm,HUQ050,2003-2004
#days used chewing tobacco -last 5 days,SMQRTU_D.htm,SMQ800,2005-2006
#times overnite hospital patient/last yr,HUQ_D.htm,HUD080,2005-2006
#times receive healthcare over past year,HUQ_D.htm,HUQ050,2005-2006
2Yr AM(3-11) & fasting (12+) weights,L13AM_C.htm,WTSAF2YR,2003-2004
60 sec HR (30 sec HR * 2),BPX_C.htm,BPXCHR,2003-2004
60 sec. pulse (30 sec. pulse * 2):,BPX_C.htm,BPXPLS,2003-2004
ABPI Section Comment,LEXAB_C.htm,LEDSCCT2,2003-2004
Ability to maintain an erection,KIQ_P_C.htm,KIQ400,2003-2004
Able to take part in most type of play,PFQ_C.htm,PFQ015,2003-2004
About how old when first SED?,CIQDEP_C.htm,CIQD112,2003-2004
About how old when first WTA?,CIQGAD_C.htm,CIQG21,2003-2004
Activity comparison last mo - last yr,PAQ_C.htm,PAQ500,2003-2004
Activity level,PAQIAF_C.htm,PADLEVEL,2003-2004
Acute care facility,HUQ_C.htm,HUQ088a,2003-2004
Added alpha-tocopherol (Vitamin E) (mg),DR2TOT_D.htm,DR2TATOA,2005-2006
Added vitamin B12 (mcg),DR2TOT_D.htm,DR2TB12A,2005-2006
Afraid you might die?,CIQPAN_C.htm,CIQP13N,2003-2004
Afraid you might lose control?,CIQPAN_C.htm,CIQP13L,2003-2004
Afraid you might pass out?,CIQPAN_C.htm,CIQP13M,2003-2004
Age at first BPH diagnosis,KIQ_P_C.htm,KIQ161,2003-2004
Age first fed formula daily(days),DBQ_D.htm,DBD040,2005-2006
Age first fed milk daily basis(days),DBQ_D.htm,DBD060,2005-2006
Age first smoked whole cigarette,SMQ_D.htm,SMD630,2005-2006
Age last smoked cigarettes regularly,SMQ_C.htm,SMD055,2003-2004
Age last time had attack,CIQPAN_C.htm,CIQP31,2003-2004
Age started chewing tobacco regularly,SMQ_C.htm,SMD220,2003-2004
Age started cigar smoking regularly,SMQ_C.htm,SMD160,2003-2004
Age started eating other foods(days),DBQ_D.htm,DBD020,2005-2006
Age started eating solid foods(days),DBQ_D.htm,DBD080,2005-2006
Age started pipe smoking regularly,SMQ_C.htm,SMD130,2003-2004
Age started smoking cigarettes regularly,SMQ_C.htm,SMD030,2003-2004
Age started using snuff regularly,SMQ_C.htm,SMD190,2003-2004
Age stopped breastfeeding(days),DBQ_D.htm,DBD030,2005-2006
Age stopped receiving formula(days),DBQ_D.htm,DBD050,2005-2006
Age when first told you had diabetes,DIQ_D.htm,DID040,2005-2006
Age when fractured hip 1st time,OSQ_D.htm,OSD030aa,2005-2006
Age when fractured hip 2nd time,OSQ_D.htm,OSD030ab,2005-2006
Age when fractured hip 3rd time,OSQ_D.htm,OSD030ac,2005-2006
Age when fractured spine 10th time,OSQ_D.htm,OSD030cj,2005-2006
Age when fractured spine 1st time,OSQ_D.htm,OSD030ca,2005-2006
Age when fractured spine 2nd time,OSQ_D.htm,OSD030cb,2005-2006
Age when fractured spine 3rd time,OSQ_D.htm,OSD030cc,2005-2006
Age when fractured spine 4th time,OSQ_D.htm,OSD030cd,2005-2006
Age when fractured spine 5th time,OSQ_D.htm,OSD030ce,2005-2006
Age when fractured spine 6th time,OSQ_D.htm,OSD030cf,2005-2006
Age when fractured spine 7th time,OSQ_D.htm,OSD030cg,2005-2006
Age when fractured spine 8th time,OSQ_D.htm,OSD030ch,2005-2006
Age when fractured spine 9th time,OSQ_D.htm,OSD030ci,2005-2006
Age when fractured wrist 1st time,OSQ_D.htm,OSD030ba,2005-2006
Age when fractured wrist 2nd time,OSQ_D.htm,OSD030bb,2005-2006
Age when fractured wrist 3rd time,OSQ_D.htm,OSD030bc,2005-2006
Age when fractured wrist 4th time,OSQ_D.htm,OSD030bd,2005-2006
Age when fractured wrist 5th time,OSQ_D.htm,OSD030be,2005-2006
Age when fractured wrist 6th time,OSQ_D.htm,OSD030bf,2005-2006
Age when fractured wrist 7th time,OSQ_D.htm,OSD030bg,2005-2006
Age when heaviest weight,WHQ_C.htm,WHQ150,2003-2004
Alanine aminotransferase ALT (U/L),L40_C.htm,LBXSATSI,2003-2004
Albumin (g/L),L40_C.htm,LBDSALSI,2003-2004
Albumin (g/dL),L40_C.htm,LBXSAL,2003-2004
"Albumin, urine (mg/L) SI",L16_C.htm,URXUMASI,2003-2004
"Albumin, urine (ug/mL)",L16_C.htm,URXUMA,2003-2004
Alcohol (gm),DR2TOT_D.htm,DR2TALCO,2005-2006
Alkaline phosphotase (U/L),L40_C.htm,LBXSAPSI,2003-2004
Alpha-carotene (mcg),DR2TOT_D.htm,DR2TACAR,2005-2006
Amount of time spent in Recovery 1 (min),CVX_C.htm,CVDR1TIM,2003-2004
Amount of time spent in Recovery 2 (min),CVX_C.htm,CVDR2TIM,2003-2004
Amount of time spent in Recovery 3 (min),CVX_C.htm,CVDR3TIM,2003-2004
Amount of time spent in Stage 1 (min),CVX_C.htm,CVDS1TIM,2003-2004
Amount of time spent in Stage 2 (min),CVX_C.htm,CVDS2TIM,2003-2004
Amount of time spent in warm-up (min),CVX_C.htm,CVDWTIM,2003-2004
Amount of weight gained,CIQDEP_C.htm,CIQD024,2003-2004
Amount of weight lost,CIQDEP_C.htm,CIQD021,2003-2004
Android fat mass,DXXAG_C.htm,DXXANFM,2003-2004
Android lean mass,DXXAG_C.htm,DXXANLM,2003-2004
Android percent fat,DXXAG_C.htm,DXXAPFAT,2003-2004
Android to Gynoid ratio,DXXAG_C.htm,DXXAGRAT,2003-2004
Android total mass,DXXAG_C.htm,DXXANTOM,2003-2004
