Description,File,Variable,Year
CHECK ITEM,ACQ_C.htm,ACQ015,2003-2004
CHECK ITEM,ACQ_C.htm,ACQ005,2003-2004
English usually spoken at home,ACQ_C.htm,ACD010A,2003-2004
Father's country of birth,ACQ_C.htm,ACD070,2003-2004
Language(s) read and spoken,ACQ_C.htm,ACQ020,2003-2004
Language(s) used as child,ACQ_C.htm,ACQ030,2003-2004
Language(s) usually spoken at home,ACQ_C.htm,ACD040,2003-2004
Language(s) usually used to think,ACQ_C.htm,ACQ050,2003-2004
Language(s) usually used with friends,ACQ_C.htm,ACQ060,2003-2004
Mother's country of birth,ACQ_C.htm,ACD080,2003-2004
Other language(s) usually spoken at home,ACQ_C.htm,ACD010C,2003-2004
Respondent sequence number,ACQ_C.htm,SEQN,2003-2004
Spanish usually spoken at home,ACQ_C.htm,ACD010B,2003-2004
CHECK ITEM,ACQ_D.htm,ACQ005,2005-2006
English usually spoken at home,ACQ_D.htm,ACD010A,2005-2006
Language(s) usually spoken at home,ACQ_D.htm,ACD040,2005-2006
Other language(s) usually spoken at home,ACQ_D.htm,ACD010C,2005-2006
Respondent sequence number,ACQ_D.htm,SEQN,2005-2006
Spanish usually spoken at home,ACQ_D.htm,ACD010B,2005-2006
"# days drink alcohol per wk, mo, yr",ALQ_C.htm,ALQ120U,2003-2004
"# days per week, month, year?",ALQ_C.htm,ALQ140U,2003-2004
#days have 5 or more drinks/past 12 mos,ALQ_C.htm,ALQ140Q,2003-2004
Avg # alcoholic drinks/day -past 12 mos,ALQ_C.htm,ALQ130,2003-2004
Ever have 5 or more drinks every day?,ALQ_C.htm,ALQ150,2003-2004
Had at least 12 alcohol drinks/1 yr?,ALQ_C.htm,ALQ101,2003-2004
Had at least 12 alcohol drinks/lifetime?,ALQ_C.htm,ALQ110,2003-2004
How often drink alcohol over past 12 mos,ALQ_C.htm,ALQ120Q,2003-2004
Respondent sequence number,ALQ_C.htm,SEQN,2003-2004
"# days drink alcohol per wk, mo, yr",ALQ_D.htm,ALQ120U,2005-2006
"# days per week, month, year?",ALQ_D.htm,ALQ140U,2005-2006
#days have 5 or more drinks/past 12 mos,ALQ_D.htm,ALQ140Q,2005-2006
Avg # alcoholic drinks/day -past 12 mos,ALQ_D.htm,ALQ130,2005-2006
Ever have 5 or more drinks every day?,ALQ_D.htm,ALQ150,2005-2006
Had at least 12 alcohol drinks/1 yr?,ALQ_D.htm,ALQ101,2005-2006
Had at least 12 alcohol drinks/lifetime?,ALQ_D.htm,ALQ110,2005-2006
How often drink alcohol over past 12 mos,ALQ_D.htm,ALQ120Q,2005-2006
Respondent sequence number,ALQ_D.htm,SEQN,2005-2006
Alanine aminotransferase ALT (U/L),BIOPRO_D.htm,LBXSATSI,2005-2006
Albumin (g/L),BIOPRO_D.htm,LBDSALSI,2005-2006
Albumin (g/dL),BIOPRO_D.htm,LBXSAL,2005-2006
Alkaline phosphotase (U/L),BIOPRO_D.htm,LBXSAPSI,2005-2006
Aspartate aminotransferase AST (U/L),BIOPRO_D.htm,LBXSASSI,2005-2006
Bicarbonate (mmol/L),BIOPRO_D.htm,LBXSC3SI,2005-2006
"Bilirubin, total (umol/L)",BIOPRO_D.htm,LBDSTBSI,2005-2006
Blood urea nitrogen (mg/dL),BIOPRO_D.htm,LBXSBU,2005-2006
Blood urea nitrogen (mmol/L),BIOPRO_D.htm,LBDSBUSI,2005-2006
Chloride (mmol/L),BIOPRO_D.htm,LBXSCLSI,2005-2006
Cholesterol (mg/dL),BIOPRO_D.htm,LBXSCH,2005-2006
Cholesterol (mmol/L),BIOPRO_D.htm,LBDSCHSI,2005-2006
Creatinine (mg/dL),BIOPRO_D.htm,LBXSCR,2005-2006
Creatinine (umol/L),BIOPRO_D.htm,LBDSCRSI,2005-2006
Gamma glutamyl transferase (U/L),BIOPRO_D.htm,LBXSGTSI,2005-2006
Globulin (g/L),BIOPRO_D.htm,LBDSGBSI,2005-2006
Globulin (g/dL),BIOPRO_D.htm,LBXSGB,2005-2006
"Glucose, serum (mg/dL)",BIOPRO_D.htm,LBXSGL,2005-2006
"Glucose, serum (mmol/L)",BIOPRO_D.htm,LBDSGLSI,2005-2006
"Iron, refigerated (ug/dL)",BIOPRO_D.htm,LBXSIR,2005-2006
"Iron, refigerated (umol/L)",BIOPRO_D.htm,LBDSIRSI,2005-2006
Lactate dehydrogenase LDH (U/L),BIOPRO_D.htm,LBXSLDSI,2005-2006
Osmolality (mmol/Kg),BIOPRO_D.htm,LBXSOSSI,2005-2006
Phosphorus (mg/dL),BIOPRO_D.htm,LBXSPH,2005-2006
Phosphorus (mmol/L),BIOPRO_D.htm,LBDSPHSI,2005-2006
Potassium (mmol/L),BIOPRO_D.htm,LBXSKSI,2005-2006
Respondent sequence number,BIOPRO_D.htm,SEQN,2005-2006
Sodium (mmol/L),BIOPRO_D.htm,LBXSNASI,2005-2006
Total bilirubin (mg/dL),BIOPRO_D.htm,LBXSTB,2005-2006
Total calcium (mg/dL),BIOPRO_D.htm,LBXSCA,2005-2006
Total calcium (mmol/L),BIOPRO_D.htm,LBDSCASI,2005-2006
Total protein (g/L),BIOPRO_D.htm,LBDSTPSI,2005-2006
Total protein (g/dL),BIOPRO_D.htm,LBXSTP,2005-2006
Triglycerides (mg/dL),BIOPRO_D.htm,LBXSTR,2005-2006
Triglycerides (mmol/L),BIOPRO_D.htm,LBDSTRSI,2005-2006
Uric acid (mg/dL),BIOPRO_D.htm,LBXSUA,2005-2006
Uric acid (umol/L),BIOPRO_D.htm,LBDSUASI,2005-2006
BIA Status,BIX_C.htm,BIAEXSTS,2003-2004
Cell membrane capacitance (nF),BIX_C.htm,BIDCM,2003-2004
Characteristic frequency (KHz),BIX_C.htm,BIDFC,2003-2004
Estimated extracellular fluid volume (L),BIX_C.htm,BIDECF,2003-2004
Estimated fat mass (kg),BIX_C.htm,BIDFAT,2003-2004
Estimated fat-free mass (kg),BIX_C.htm,BIDFFM,2003-2004
Estimated intracellular fluid volume (L),BIX_C.htm,BIDICF,2003-2004
Estimated percent body fat,BIX_C.htm,BIDPFAT,2003-2004
Estimated total water body volume (L),BIX_C.htm,BIDTBW,2003-2004
Exponent alpha,BIX_C.htm,BIDALPHA,2003-2004
Quality of fit to Cole model,BIX_C.htm,BIDFIT,2003-2004
Reactance (Ohms) @ 1 MHz,BIX_C.htm,BIXC1M,2003-2004
Reactance (Ohms) @ 10 KHz,BIX_C.htm,BIXC010K,2003-2004
Reactance (Ohms) @ 100 KHz,BIX_C.htm,BIXC100K,2003-2004
Reactance (Ohms) @ 11 KHz,BIX_C.htm,BIXC011K,2003-2004
Reactance (Ohms) @ 115 KHz,BIX_C.htm,BIXC115K,2003-2004
Reactance (Ohms) @ 12 KHz,BIX_C.htm,BIXC012K,2003-2004
Reactance (Ohms) @ 128 KHz,BIX_C.htm,BIXC128K,2003-2004
Reactance (Ohms) @ 13 KHz,BIX_C.htm,BIXC013K,2003-2004
Reactance (Ohms) @ 14 KHz,BIX_C.htm,BIXC014K,2003-2004
Reactance (Ohms) @ 143 KHz,BIX_C.htm,BIXC143K,2003-2004
Reactance (Ohms) @ 15 KHz,BIX_C.htm,BIXC015K,2003-2004
Reactance (Ohms) @ 159 KHz,BIX_C.htm,BIXC159K,2003-2004
Reactance (Ohms) @ 16 KHz,BIX_C.htm,BIXC016K,2003-2004
Reactance (Ohms) @ 177 KHz,BIX_C.htm,BIXC177K,2003-2004
Reactance (Ohms) @ 18 KHz,BIX_C.htm,BIXC018K,2003-2004
Reactance (Ohms) @ 20 KHz,BIX_C.htm,BIXC020K,2003-2004
Reactance (Ohms) @ 200 KHz,BIX_C.htm,BIXC200K,2003-2004
Reactance (Ohms) @ 220 KHz,BIX_C.htm,BIXC220K,2003-2004
Reactance (Ohms) @ 23 KHz,BIX_C.htm,BIXC023K,2003-2004
Reactance (Ohms) @ 245 KHz,BIX_C.htm,BIXC245K,2003-2004
Reactance (Ohms) @ 25 KHz,BIX_C.htm,BIXC025K,2003-2004
Reactance (Ohms) @ 273 KHz,BIX_C.htm,BIXC273K,2003-2004
Reactance (Ohms) @ 28 KHz,BIX_C.htm,BIXC028K,2003-2004
Reactance (Ohms) @ 304 KHz,BIX_C.htm,BIXC304K,2003-2004
Reactance (Ohms) @ 31 KHz,BIX_C.htm,BIXC031K,2003-2004
Reactance (Ohms) @ 339 KHz,BIX_C.htm,BIXC339K,2003-2004
