SEQN,FIAINTRP,INDHHINC,SDMVPSU,DMDMARTL,MIALANG,DMDHRAGE,AIALANG,FIALANG,RIDAGEYR,DMDHRBRN,DMDYRSUS,DMDHHSIZ,WTINT2YR,MIAPROXY,SDDSRVYR,DMDHRGND,DMDBORN,RIDEXPRG,SIAPROXY,FIAPROXY,MIAINTRP,RIDAGEMN,INDFMINC,DMDHSEDU,INDFMPIR,RIDSTATR,RIAGENDR,DMDEDUC3,RIDRETH1,SDMVSTRA,SIAINTRP,DMQMILIT,RIDEXMON,DMDEDUC2,RIDAGEEX,DMDSCHOL,DMDCITZN,WTMEC2YR,DMDHRMAR,SIALANG,DMDHREDU,SourceYear
21005.0,2.0,6.0,2.0,5.0,1.0,39.0,1.0,1.0,19.0,1.0,,2.0,5512.32094860935,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,232.0,6.0,,2.44,2.0,1.0,11.0,4.0,39.0,2.0,2.0,1.0,,233.0,1.0,1.0,5824.782465454041,3.0,1.0,5.0,2003
21006.0,2.0,7.0,1.0,5.0,1.0,27.0,1.0,1.0,16.0,1.0,,6.0,5422.140452659803,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,203.0,6.0,,2.47,2.0,2.0,11.0,4.0,41.0,2.0,,2.0,,205.0,2.0,1.0,5564.039714652058,5.0,1.0,2.0,2003
21007.0,2.0,,2.0,5.0,1.0,39.0,1.0,1.0,14.0,1.0,,5.0,39764.177412,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,172.0,6.0,,1.6,2.0,2.0,8.0,3.0,35.0,2.0,,1.0,,172.0,1.0,1.0,40591.066325,,1.0,4.0,2003
21008.0,2.0,11.0,1.0,5.0,1.0,40.0,1.0,1.0,17.0,1.0,,7.0,5599.499351374193,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,208.0,7.0,,2.75,2.0,1.0,10.0,4.0,32.0,2.0,2.0,2.0,,209.0,1.0,1.0,5696.750595869874,5.0,1.0,4.0,2003
21009.0,2.0,8.0,2.0,1.0,1.0,55.0,1.0,1.0,55.0,1.0,,2.0,97593.678977,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,671.0,8.0,4.0,3.79,2.0,1.0,,3.0,31.0,2.0,2.0,2.0,3.0,672.0,,1.0,97731.727244,1.0,1.0,3.0,2003
21010.0,2.0,6.0,1.0,6.0,1.0,54.0,1.0,1.0,52.0,1.0,,3.0,39599.362689,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,633.0,4.0,,1.24,2.0,2.0,,3.0,29.0,2.0,2.0,2.0,4.0,634.0,,1.0,43286.576474,6.0,1.0,1.0,2003
21011.0,2.0,13.0,2.0,,,22.0,,1.0,0.0,2.0,,7.0,1647.61769,,3.0,2.0,1.0,,1.0,2.0,,3.0,13.0,3.0,,2.0,1.0,,1.0,40.0,2.0,,1.0,,4.0,,1.0,1692.168138,1.0,2.0,1.0,2003
21012.0,2.0,2.0,2.0,6.0,,63.0,,1.0,63.0,1.0,,2.0,12629.44048,,3.0,1.0,1.0,,2.0,2.0,,765.0,2.0,,0.89,2.0,1.0,,4.0,33.0,2.0,2.0,2.0,3.0,766.0,,1.0,12947.338142,6.0,1.0,3.0,2003
21013.0,2.0,2.0,1.0,,1.0,30.0,1.0,1.0,13.0,1.0,,3.0,7174.3710365355055,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,163.0,2.0,,0.59,2.0,2.0,6.0,4.0,37.0,2.0,,1.0,,164.0,1.0,1.0,7304.945502641202,3.0,1.0,4.0,2003
21014.0,2.0,4.0,1.0,,,31.0,,1.0,3.0,1.0,,7.0,7498.031463,,3.0,2.0,1.0,,1.0,2.0,,42.0,4.0,4.0,0.63,2.0,1.0,,4.0,33.0,2.0,,2.0,,42.0,,1.0,8385.245979,1.0,1.0,4.0,2003
